,Unnamed: 0,id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,host_response_time,host_identity_verified,host_response_rate,host_is_superhost,nr_of_bathrooms,bedrooms,accommodates,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
304,524,1129073,5878527,Lisboa,Santa Maria Maior,38.71092,-9.1355,2,37,2,391,3.8,2,72,0,1,1,1.0,1,1.0,1.0,2,4.75,4.77,4.8,4.8,4.94,4.71
305,530,1141518,6260071,Lisboa,So Vicente,38.71419,-9.1291,4,65,3,297,2.86,1,309,12,1,1,1.0,0,1.0,1.0,2,4.71,4.84,4.87,4.9,4.82,4.71
306,531,1142938,5878527,Lisboa,Santa Maria Maior,38.71092,-9.1355,2,37,3,375,3.65,2,249,3,1,1,1.0,1,1.0,1.0,2,4.7,4.84,4.85,4.81,4.92,4.76
307,534,1143829,6271524,Mafra,Ericeira,38.96584,-9.41836,4,55,6,58,0.56,1,357,3,3,0,0.78,1,1.0,2.0,5,4.6,4.78,4.75,4.82,4.65,4.71
308,535,1144323,6274216,Lisboa,Santo Antnio,38.71729,-9.15167,4,100,30,75,0.73,1,342,0,1,1,1.0,0,1.0,2.0,4,4.92,4.97,5.0,4.99,4.91,4.91
309,536,1148064,6293975,Lisboa,So Vicente,38.7147,-9.12923,4,45,2,316,3.09,2,230,50,1,1,1.0,1,1.0,1.0,2,4.89,4.93,4.95,4.97,4.91,4.89
310,537,1150049,914126,Lisboa,Santa Maria Maior,38.7118,-9.13795,4,110,2,91,0.89,16,345,9,2,1,1.0,1,2.0,3.0,6,4.81,4.92,4.89,4.87,4.99,4.74
311,538,1150070,6304160,Lisboa,Misericrdia,38.71373,-9.14688,4,90,3,310,3.21,2,321,8,1,1,1.0,1,2.0,3.0,8,4.82,4.89,4.96,4.94,4.86,4.79
313,542,1163174,499631,Lisboa,Santa Maria Maior,38.7111,-9.12803,4,40,3,306,2.96,1,304,0,2,1,1.0,0,1.0,1.0,3,4.49,4.43,4.72,4.71,4.85,4.65
314,543,1166582,405842,Lisboa,Campolide,38.72701,-9.16339,4,60,28,13,0.2,6,100,0,1,1,1.0,0,1.0,2.0,3,4.31,4.38,4.77,4.77,4.23,4.15
315,544,1167624,6270667,Lisboa,Santa Maria Maior,38.71187,-9.13274,4,77,4,287,2.78,1,284,22,1,1,1.0,1,1.0,2.0,6,4.75,4.87,4.92,4.93,4.91,4.76
316,549,1175357,2644971,Lisboa,Belm,38.6981,-9.19538,4,80,3,90,0.87,1,97,0,3,0,1.0,0,1.0,2.0,3,4.86,4.93,4.93,4.95,4.89,4.89
