	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	host_response_time	host_identity_verified	host_response_rate	host_is_superhost	nr_of_bathrooms	bedrooms	accommodates	review_scores_rating	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value
5069	16106088	56188330	Lisboa	So Vicente	38.7194	-9.1197	4	140	4	58	0.99	1	294	1	1	1	1.0	1	3.0	2.0	5	5.0	4.98	5.0	5.0	4.79	4.95
5071	16109089	102610454	Lourinh	Lourinh e Atalaia	39.28064	-9.30898	4	350	1	17	0.32	1	362	8	2	1	1.0	0	3.5	6.0	15	4.6	4.47	4.8	4.8	4.73	4.4
5073	16112908	45080954	Cascais	Cascais e Estoril	38.69773	-9.41957	4	150	3	18	0.35	3	342	0	1	1	0.93	0	1.0	1.0	4	4.41	4.47	4.18	4.59	4.94	4.53
5074	16113260	16877245	Lisboa	Olivais	38.76654	-9.11289	2	45	2	16	0.28	2	188	0	1	1	1.0	0	1.0	1.0	4	5.0	5.0	4.88	4.88	4.69	4.81
5076	16117281	105098422	Sintra	Queluz e Belas	38.76504	-9.25671	4	60	2	26	0.52	1	341	6	1	0	1.0	0	1.0	2.0	5	4.42	4.46	4.65	4.65	4.35	4.27
5077	16117908	420567	Lisboa	Arroios	38.71684	-9.13772	4	55	4	1	0.04	5	0	0	3	0	1.0	0	1.0	1.0	4	5.0	5.0	5.0	5.0	5.0	4.0
5079	16137768	8950388	Lisboa	So Vicente	38.71997	-9.12728	4	34	3	219	3.59	2	63	34	1	1	1.0	1	1.0	1.0	4	4.7	4.8	4.95	4.97	4.71	4.69
5082	16143862	81466443	Loures	Sacavm e Prior Velho	38.791	-9.11206	4	70	1	173	2.89	1	330	11	1	1	1.0	1	2.0	2.0	4	4.87	4.91	4.98	4.96	4.48	4.8
5084	16146367	10599350	Lisboa	Arroios	38.71718	-9.13753	4	59	3	11	0.18	30	299	4	1	1	1.0	0	1.0	1.0	4	5.0	5.0	5.0	4.91	4.82	5.0
5085	16146818	5471155	Lisboa	Campolide	38.72422	-9.16535	4	82	3	32	0.56	11	364	0	1	1	1.0	0	1.0	1.0	2	4.59	4.66	4.87	4.78	4.39	4.65
5086	16147306	17777000	Lisboa	So Vicente	38.71866	-9.13291	4	120	3	107	1.85	7	52	0	1	1	1.0	0	1.0	2.0	7	4.82	4.67	4.85	4.87	4.81	4.74
5087	16152526	10599350	Lisboa	Arroios	38.71547	-9.13808	4	59	3	29	0.48	30	311	13	1	1	1.0	0	1.0	1.0	4	4.86	4.97	4.86	4.97	4.9	4.86
5088	16152858	10599350	Lisboa	Arroios	38.71706	-9.13965	4	59	3	17	0.29	30	342	3	1	1	1.0	0	1.0	1.0	4	4.59	4.76	4.94	4.82	4.65	4.47
5092	16154693	10599350	Lisboa	Arroios	38.71721	-9.13955	4	59	3	12	0.2	30	257	6	1	1	1.0	0	1.0	1.0	3	4.83	4.75	5.0	5.0	4.75	4.75
5100	16161972	105490041	Lisboa	Arroios	38.73297	-9.13282	4	54	4	19	0.32	1	251	5	1	0	1.0	0	1.0	2.0	6	5.0	5.0	5.0	5.0	4.79	4.89
5101	16162282	56201244	Lisboa	Santa Maria Maior	38.71054	-9.14178	4	190	2	129	2.14	30	252	11	1	1	1.0	1	3.0	2.0	5	4.84	4.87	4.92	4.87	4.98	4.79
5103	16183344	45429583	Lisboa	Misericrdia	38.70898	-9.14593	4	90	1	2	0.09	24	23	1	4	1	0.46	0	1.0	2.0	6	5.0	5.0	5.0	4.0	5.0	4.5
5104	16187715	45429583	Lisboa	Misericrdia	38.70894	-9.14822	4	80	1	3	0.11	24	112	0	4	1	0.46	0	1.0	1.0	4	4.0	4.67	5.0	5.0	5.0	4.33
5105	16190029	105721887	Lisboa	So Vicente	38.71612	-9.13114	4	65	3	62	1.03	1	350	0	1	0	1.0	0	1.0	1.0	3	4.6	4.61	4.87	4.94	4.84	4.61
5106	16196810	19254511	Lisboa	Belm	38.69544	-9.21281	4	79	1	28	0.46	4	0	1	2	1	1.0	1	1.0	2.0	4	4.93	4.93	4.86	4.96	4.96	4.93
5107	16199856	99481117	Lisboa	Santa Maria Maior	38.71664	-9.13348	4	48	3	32	0.57	20	0	0	1	1	0.8	1	1.0	2.0	4	4.63	4.72	4.72	4.91	4.81	4.53
5108	16200692	93835678	Lisboa	So Vicente	38.71746	-9.12874	4	75	1	100	1.66	2	1	0	1	1	1.0	1	1.0	2.0	4	4.93	4.94	4.98	4.99	4.87	4.86
5110	16215086	105941443	Lisboa	Marvila	38.74949	-9.11776	4	55	4	17	0.31	1	118	2	3	1	1.0	0	1.5	2.0	4	4.73	4.67	5.0	4.93	4.8	4.87
5111	16215618	105939064	Lisboa	Arroios	38.72027	-9.13357	4	105	2	267	4.43	3	350	32	1	1	1.0	1	1.0	2.0	2	4.97	4.99	4.98	4.98	4.88	4.93
5113	16225194	105939064	Lisboa	Arroios	38.72027	-9.13358	4	95	2	218	3.63	3	346	19	1	1	1.0	1	1.0	2.0	4	4.97	4.99	4.99	4.99	4.84	4.92
5114	16225933	105939064	Lisboa	Arroios	38.72028	-9.13357	4	130	2	193	3.2	3	188	0	1	1	1.0	1	1.0	2.0	4	4.98	4.98	4.95	4.98	4.85	4.91
5116	16239540	106154498	Loures	Sacavm e Prior Velho	38.79249	-9.10162	4	200	5	7	0.13	1	364	0	1	1	1.0	0	2.0	2.0	4	5.0	5.0	5.0	5.0	4.83	4.5
5117	16239696	80745409	Lisboa	Areeiro	38.73698	-9.13545	4	300	2	35	0.66	36	216	0	1	1	0.96	1	3.5	5.0	14	4.89	4.86	5.0	4.94	4.89	4.77
5118	16240796	3570032	Lisboa	Arroios	38.71907	-9.14031	4	69	7	14	0.25	4	222	0	2	1	1.0	0	1.0	1.0	2	4.86	4.86	4.86	4.93	4.71	4.93
5119	16241388	106170469	Cascais	Alcabideche	38.73308	-9.38621	4	200	3	6	0.11	1	251	0	4	1	0.0	0	3.0	4.0	6	4.6	4.8	4.6	5.0	4.4	4.0
5120	16241568	97800475	Lisboa	Arroios	38.72503	-9.13219	4	41	3	168	2.78	6	170	15	1	1	1.0	0	1.0	1.0	2	4.58	4.9	4.93	4.9	4.61	4.55
5122	16253924	29509561	Lisboa	Santo Antnio	38.72005	-9.1419	2	50	2	59	1.06	7	342	6	2	1	1.0	0	1.0	1.0	3	4.8	4.83	4.98	4.95	4.98	4.72
5124	16265003	106363528	Lisboa	Santa Maria Maior	38.7113	-9.13686	4	90	2	155	2.63	2	359	9	1	1	1.0	0	1.0	2.0	4	4.86	4.86	4.93	4.91	4.98	4.8
5125	16266066	106363496	Lisboa	Arroios	38.73443	-9.13142	4	64	3	150	2.47	1	346	10	1	1	1.0	0	2.0	2.0	4	4.66	4.62	4.6	4.68	4.73	4.65
5126	16268168	34827624	Lisboa	Santa Maria Maior	38.71089	-9.13372	4	133	1	10	0.17	38	296	2	1	1	0.98	0	1.0	1.0	2	4.9	4.9	4.8	4.7	4.9	4.8
5127	16268543	106363528	Lisboa	Santa Maria Maior	38.71137	-9.13686	4	90	2	122	2.03	2	361	3	1	1	1.0	0	1.0	2.0	4	4.89	4.86	4.92	4.88	5.0	4.79
5128	16280615	106490565	Lisboa	So Vicente	38.71922	-9.12786	4	500	4	93	1.55	1	307	15	1	1	1.0	0	1.0	1.0	4	4.64	4.84	4.63	4.76	4.38	4.7
5130	16283750	106513762	Lisboa	Misericrdia	38.7141	-9.15054	4	59	3	155	2.56	2	0	6	1	1	1.0	0	1.0	2.0	4	4.56	4.66	4.63	4.75	4.78	4.59
5137	16286285	36815814	Lisboa	Misericrdia	38.71333	-9.14682	4	210	3	6	0.11	3	311	0	1	1	1.0	1	2.0	3.0	8	5.0	5.0	5.0	5.0	4.83	5.0
5138	16295260	106502828	Lisboa	Arroios	38.73259	-9.13289	4	94	4	71	1.22	3	353	3	1	1	1.0	0	1.0	2.0	6	4.86	4.96	4.99	4.99	4.59	4.8
5141	16306318	19254511	Lisboa	Belm	38.69505	-9.21287	4	88	7	8	0.13	4	162	0	2	1	1.0	1	1.0	2.0	4	4.75	4.75	5.0	5.0	5.0	4.63
5142	16306894	5918228	Lisboa	Santo Antnio	38.71975	-9.14302	4	74	2	50	0.89	7	268	0	1	1	1.0	1	1.0	1.0	3	4.86	4.94	4.98	5.0	4.92	4.88
5143	16306950	106509395	Lisboa	Misericrdia	38.70774	-9.14727	4	158	1	2	1.11	7	348	2	1	1	1.0	0	1.0	1.0	5	5.0	5.0	5.0	5.0	5.0	5.0
5145	16309311	1146277	Lisboa	Marvila	38.75915	-9.12871	4	60	6	27	0.49	3	363	2	1	1	1.0	0	0.0	1.0	2	4.96	4.89	5.0	5.0	4.96	4.84
5146	16311566	387186	Lisboa	Santa Maria Maior	38.70797	-9.1327	4	82	3	173	3.22	6	37	23	1	1	1.0	1	1.0	1.0	2	4.95	4.97	4.97	4.94	4.97	4.84
5147	16313802	6271273	Lisboa	Santa Maria Maior	38.71288	-9.13204	4	70	1	107	1.78	4	354	11	1	1	1.0	0	1.0	1.0	3	4.53	4.85	4.68	4.72	4.71	4.38
5149	16317661	22320211	Lisboa	Alvalade	38.74863	-9.14176	2	30	1	9	0.16	1	339	2	3	0	1.0	0	1.0	1.0	2	4.78	4.78	5.0	4.78	4.67	4.44
5152	16331293	1416183	Lisboa	Santa Maria Maior	38.71301	-9.14238	4	119	3	77	1.28	13	268	18	2	1	1.0	1	1.5	2.0	5	4.86	4.81	4.99	4.96	4.99	4.69
5154	16334452	90401195	Lisboa	Areeiro	38.74434	-9.13522	4	50	1	320	5.31	2	273	0	1	1	1.0	0	1.0	1.0	4	4.82	4.91	4.92	4.91	4.68	4.74
5157	16344176	107015823	Lisboa	Misericrdia	38.7114	-9.15218	4	79	3	187	3.13	4	0	4	1	1	1.0	1	1.0	1.0	3	4.78	4.87	4.93	4.92	4.82	4.68
5158	16344398	107015823	Lisboa	Misericrdia	38.71266	-9.15059	4	79	3	156	2.61	4	0	7	1	1	1.0	1	1.0	1.0	4	4.87	4.91	4.88	4.91	4.79	4.7
5159	16344405	95101038	Lisboa	Santa Maria Maior	38.71138	-9.13719	4	63	2	164	2.8	8	361	20	1	1	1.0	0	1.0	1.0	2	4.61	4.68	4.9	4.86	4.93	4.57
5160	16344610	107015823	Lisboa	Misericrdia	38.71294	-9.15158	4	129	3	167	2.77	4	9	9	1	1	1.0	1	2.0	2.0	5	4.9	4.93	4.93	4.95	4.81	4.81
5165	16347497	2476571	Lisboa	Santa Maria Maior	38.7112	-9.1311	4	250	2	21	0.38	11	258	0	1	1	1.0	0	2.0	3.0	16	4.57	4.57	4.76	4.86	4.95	4.52
5167	16351553	54904151	Lisboa	Estrela	38.7138	-9.16048	4	92	4	117	2.02	1	329	7	1	1	1.0	1	1.0	2.0	3	4.96	4.94	4.9	4.99	4.9	4.88
5169	16363875	63238008	Lisboa	Santa Maria Maior	38.71067	-9.13766	4	122	1	4	0.07	3	363	0	2	0	1.0	0	1.0	2.0	5	5.0	4.75	4.75	5.0	5.0	4.5
5172	16377323	22370159	Lisboa	Misericrdia	38.7101	-9.15121	4	64	1	54	0.9	29	0	0	1	1	0.96	0	2.0	2.0	9	4.67	4.7	4.81	4.87	4.85	4.61
5173	16378630	1029524	Lisboa	Misericrdia	38.71088	-9.14692	4	202	3	30	0.67	17	231	5	1	1	1.0	0	4.5	5.0	16	4.87	4.73	4.73	4.87	4.97	4.9
5174	16386235	55511500	Lisboa	So Vicente	38.72068	-9.12839	4	69	2	91	1.51	4	339	18	1	1	1.0	0	1.0	2.0	6	4.75	4.86	4.92	4.99	4.7	4.81
5175	16387037	22883172	Lisboa	Alcntara	38.70576	-9.18285	4	35	3	105	1.85	1	79	16	1	1	1.0	1	2.0	1.0	2	4.9	4.8	4.93	4.96	4.71	4.82
5178	16391241	2372087	Lisboa	Arroios	38.72723	-9.13504	4	173	3	25	0.44	58	304	0	1	1	1.0	1	2.0	4.0	12	4.72	4.64	5.0	4.88	4.56	4.72
5184	16432738	63238008	Lisboa	Santa Maria Maior	38.70982	-9.1374	4	129	1	3	1.48	3	360	3	2	0	1.0	0	1.0	2.0	5	4.33	5.0	5.0	5.0	5.0	4.33
5186	16438576	46829582	Amadora	guas Livres	38.74821	-9.22651	4	45	1	114	1.89	7	355	4	1	1	0.93	0	1.0	1.0	4	4.41	4.63	4.65	4.79	3.87	4.19
5188	16440273	13219688	Lisboa	Misericrdia	38.70914	-9.15214	4	48	1	129	2.15	4	237	11	1	1	1.0	0	1.0	2.0	4	4.46	4.73	4.74	4.81	4.81	4.54
5189	16440389	26944307	Lisboa	Santo Antnio	38.72696	-9.14464	4	336	20	22	0.37	22	186	0	1	1	1.0	0	3.0	7.0	16	4.05	4.05	4.23	4.36	4.5	3.95
5191	16450381	107903717	Lisboa	So Vicente	38.7146	-9.12556	4	93	3	69	1.22	2	248	11	1	1	1.0	1	2.0	2.0	4	4.99	4.97	4.91	4.93	4.96	4.83
5192	16450647	107903717	Lisboa	Santa Maria Maior	38.71241	-9.12671	4	59	3	85	1.65	2	267	13	1	1	1.0	1	1.0	2.0	2	4.89	4.93	4.92	4.93	4.95	4.81
5193	16454358	14728233	Lisboa	Arroios	38.72657	-9.13592	4	130	2	1	0.02	1	283	0	4	1	0.33	0	1.0	2.0	5	5.0	5.0	5.0	5.0	5.0	5.0
5194	16454610	2680713	Cascais	Cascais e Estoril	38.70361	-9.394	4	75	2	58	1.02	2	312	14	1	1	1.0	1	2.0	2.0	4	4.83	4.9	4.91	4.96	4.91	4.84
5195	16463325	108017496	Loures	Moscavide e Portela	38.77523	-9.10002	4	69	3	83	1.38	1	362	2	2	1	1.0	0	1.5	2.0	5	4.65	4.64	4.89	4.91	4.71	4.62
5196	16466377	108043011	Alenquer	Ribafria e Pereiro de Palhacana	39.04843	-9.09417	4	45	3	61	1.1	2	342	13	2	0	1.0	1	1.0	2.0	5	4.92	4.95	5.0	4.95	4.82	4.9
5197	16466753	5691663	Lisboa	Misericrdia	38.70938	-9.1473	4	83	2	133	2.21	65	357	24	1	1	1.0	1	2.0	2.0	6	4.83	4.88	4.81	4.86	4.89	4.72
5198	16479025	8026998	Lisboa	Misericrdia	38.714	-9.14679	4	140	1	146	2.43	1	0	0	4	1	0.33	0	1.0	2.0	4	4.94	4.94	4.88	4.96	4.92	4.87
5199	16483204	76127721	Lisboa	Santa Maria Maior	38.71696	-9.13294	4	83	1	163	2.73	15	347	33	1	1	1.0	0	1.0	2.0	5	4.72	4.79	4.91	4.92	4.73	4.71
5200	16483778	76127721	Lisboa	Santa Maria Maior	38.71686	-9.13292	4	52	2	197	3.29	15	351	39	1	1	1.0	0	1.0	2.0	5	4.73	4.72	4.96	4.97	4.77	4.7
5201	16489613	69237683	Lisboa	Misericrdia	38.70826	-9.1471	4	60	3	171	2.84	2	68	19	1	1	1.0	0	1.5	2.0	4	4.5	4.6	4.78	4.77	4.85	4.62
5204	16505918	51080046	Lisboa	Avenidas Novas	38.73747	-9.14646	4	150	4	63	1.17	1	72	0	2	1	1.0	0	2.0	3.0	5	4.92	4.92	4.95	4.98	4.87	4.87
5206	16511537	80977161	Loures	Lousa	38.90596	-9.21699	4	49	3	119	2.3	4	308	20	1	1	1.0	1	2.0	2.0	4	4.92	4.96	4.91	4.94	4.78	4.85
5208	16514995	10332445	Lisboa	Santa Maria Maior	38.71035	-9.1391	4	100	1	133	2.24	4	157	7	1	1	1.0	0	1.0	2.0	6	4.74	4.56	4.96	4.94	4.98	4.73
5210	16524493	108664863	Lisboa	Santa Maria Maior	38.7131	-9.12655	4	45	5	45	0.75	4	357	4	2	1	1.0	1	1.0	1.0	2	4.59	4.57	4.72	4.81	4.81	4.42
5213	16539730	108829850	Lisboa	Santa Clara	38.78949	-9.15494	2	42	1	212	3.54	1	1	13	1	1	1.0	0	1.0	1.0	2	4.43	4.71	4.49	4.66	3.87	4.5
5214	16540552	11219498	Lisboa	Belm	38.69754	-9.19617	4	116	3	22	0.38	1	0	0	1	1	1.0	1	1.0	2.0	4	5.0	4.86	5.0	5.0	4.86	4.86
5218	16554920	6266705	Lisboa	Santo Antnio	38.72678	-9.14589	4	141	2	10	0.17	6	337	5	1	1	1.0	0	2.0	1.0	4	5.0	5.0	5.0	5.0	4.8	4.8
5219	16554979	6266705	Lisboa	Santo Antnio	38.72678	-9.14589	4	208	2	55	0.98	6	325	8	1	1	1.0	0	2.0	3.0	6	4.87	5.0	4.93	4.85	4.76	4.69
5220	16555014	6266705	Lisboa	Santo Antnio	38.72678	-9.14589	4	196	2	51	0.87	6	328	8	1	1	1.0	0	2.0	2.0	6	4.86	4.92	4.96	4.84	4.85	4.88
5224	16565981	13567546	Lisboa	Santa Maria Maior	38.71228	-9.13796	4	99	1	188	3.15	22	277	16	1	1	1.0	1	2.0	2.0	6	4.87	4.92	4.93	4.94	4.99	4.81
5226	16567069	13567546	Lisboa	Santa Maria Maior	38.71228	-9.13796	4	95	1	199	3.34	22	342	13	1	1	1.0	1	2.0	2.0	6	4.87	4.93	4.92	4.94	4.89	4.72
5231	16586560	211826	Lisboa	Santa Maria Maior	38.71238	-9.12611	4	70	2	184	3.16	3	199	25	1	1	1.0	1	1.5	2.0	4	4.94	4.97	4.96	4.98	4.91	4.87
5234	16602727	9856277	Lisboa	Misericrdia	38.71191	-9.14699	4	56	2	374	8.62	1	111	46	1	1	1.0	1	1.0	1.0	2	4.94	4.95	4.98	5.0	4.95	4.93
5237	16612737	2476571	Lisboa	Santa Maria Maior	38.71399	-9.13572	4	67	2	141	2.42	11	313	11	1	1	1.0	0	1.0	2.0	6	4.51	4.71	4.71	4.74	4.94	4.58
5239	16618404	109709642	Cascais	Cascais e Estoril	38.70451	-9.42162	4	125	2	4	0.09	1	187	0	1	1	1.0	0	2.0	3.0	6	4.75	4.75	5.0	5.0	4.5	4.75
5244	16657130	43674326	Sintra	Colares	38.80159	-9.44252	4	190	5	11	0.27	1	343	1	3	0	1.0	0	4.5	5.0	9	4.82	4.64	5.0	5.0	5.0	4.73
5245	16662527	101542522	Lisboa	Santa Maria Maior	38.71146	-9.12488	4	95	2	81	1.69	11	99	0	1	1	1.0	0	1.0	1.0	4	4.4	4.49	4.54	4.63	4.78	4.47
5248	16676573	36192320	Lisboa	So Vicente	38.71424	-9.13014	4	43	2	98	1.68	1	64	16	1	0	1.0	0	1.0	1.0	4	4.47	4.66	4.81	4.73	4.81	4.38
5254	16697916	71721760	Lisboa	Estrela	38.70499	-9.16547	2	25	2	51	0.87	3	53	4	1	1	1.0	1	1.0	1.0	3	4.38	4.4	4.62	4.64	4.42	4.44
5256	16700624	15235554	Lisboa	Misericrdia	38.71458	-9.15265	4	90	3	8	0.14	2	0	0	1	0	1.0	0	1.0	1.0	2	4.75	4.75	4.88	4.88	5.0	4.63
5257	16701564	110627286	Lisboa	Penha de Frana	38.72263	-9.12987	4	73	3	131	2.21	1	342	4	2	1	1.0	0	2.0	2.0	4	4.6	4.67	4.75	4.66	4.37	4.63
5258	16703399	110649746	Lisboa	So Vicente	38.71802	-9.1207	4	71	1	121	2.05	7	348	7	1	1	1.0	1	1.0	3.0	5	4.73	4.83	4.8	4.95	4.66	4.75
5260	16706560	18063509	Lisboa	Santa Maria Maior	38.71462	-9.13953	4	46	1	243	4.09	16	168	26	1	1	1.0	0	1.0	1.0	3	4.61	4.73	4.85	4.88	4.89	4.59
5261	16707384	18063509	Lisboa	Arroios	38.71786	-9.13674	4	59	1	313	5.27	16	166	56	1	1	1.0	0	1.0	1.0	4	4.79	4.88	4.89	4.92	4.94	4.78
5263	16714332	110758927	Cascais	Alcabideche	38.73288	-9.40704	4	79	3	69	1.22	1	303	14	1	1	1.0	1	1.0	2.0	4	4.85	4.93	4.96	4.97	4.77	4.88
5264	16720263	13567546	Lisboa	Santa Maria Maior	38.71228	-9.13796	4	95	1	140	2.35	22	349	16	1	1	1.0	1	1.0	2.0	6	4.79	4.91	4.91	4.96	4.96	4.76
5265	16723715	42713979	Lisboa	Misericrdia	38.71463	-9.14761	4	50	2	3	0.05	2	325	0	1	1	1.0	0	1.0	1.0	3	4.33	5.0	5.0	5.0	4.33	4.0
5267	16731607	110942954	Lisboa	Santa Maria Maior	38.71103	-9.13549	4	72	1	84	1.44	1	324	6	1	0	1.0	0	1.0	2.0	4	4.76	4.85	4.77	4.82	4.94	4.63
5271	16739453	118241230	Lisboa	Santo Antnio	38.72165	-9.14209	4	299	1	60	1.04	18	346	1	1	1	1.0	1	3.0	4.0	10	4.64	4.81	4.81	4.84	4.69	4.6
5272	16739499	6228275	Sintra	S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim	38.80042	-9.39362	2	1000	2	9	0.18	1	364	1	3	1	0.67	0	7.5	8.0	16	4.67	4.67	4.89	4.78	5.0	4.44
5273	16739643	23780167	Lisboa	Misericrdia	38.71037	-9.14373	4	130	1	85	1.43	18	0	1	3	1	0.67	0	1.0	3.0	6	4.61	4.56	4.83	4.82	4.99	4.65
5274	16748425	2680713	Cascais	Cascais e Estoril	38.70385	-9.39426	4	100	2	24	0.45	2	302	3	1	1	1.0	1	3.0	3.0	6	4.83	4.92	4.96	4.96	4.75	4.75
5275	16749522	118241230	Lisboa	Santo Antnio	38.72219	-9.14203	4	61	1	177	3.02	18	353	27	1	1	1.0	1	1.0	1.0	4	4.81	4.86	4.94	4.94	4.86	4.72
5276	16750582	118241230	Lisboa	Santo Antnio	38.72213	-9.14183	4	58	1	121	2.15	18	351	10	1	1	1.0	1	2.0	2.0	6	4.58	4.83	4.88	4.84	4.74	4.54
5278	16753089	109251556	Mafra	Mafra	38.97469	-9.34778	4	75	3	36	0.64	1	337	9	1	1	1.0	1	3.0	4.0	10	4.89	4.89	4.92	4.83	4.58	4.75
5280	16765056	82606998	Lisboa	Areeiro	38.74002	-9.12443	4	65	3	12	0.2	2	265	8	1	1	1.0	1	1.0	1.0	4	5.0	4.67	5.0	5.0	4.83	4.67
5285	16776701	89302947	Lisboa	Misericrdia	38.71122	-9.14489	4	174	2	103	1.75	3	337	1	1	1	1.0	0	3.0	4.0	8	4.82	4.76	4.98	4.98	4.9	4.74
5286	16778020	26001560	Lisboa	Ajuda	38.70304	-9.19972	4	56	3	90	1.58	1	336	0	3	1	0.5	0	1.0	2.0	4	4.41	4.61	4.73	4.59	4.74	4.49
5293	16815357	111856325	Lisboa	Santa Maria Maior	38.71215	-9.12802	4	47	2	235	3.99	9	354	31	1	1	1.0	0	1.0	1.0	2	4.66	4.67	4.88	4.92	4.92	4.59
5295	16819716	106502828	Lisboa	Santo Antnio	38.71769	-9.1536	4	90	4	43	0.73	3	347	4	1	1	1.0	0	1.0	1.0	4	4.7	4.67	4.93	4.95	4.81	4.65
5296	16822085	17457001	Lisboa	Misericrdia	38.71382	-9.14678	4	169	2	179	3.11	42	231	33	1	1	1.0	1	2.0	3.0	6	4.8	4.8	4.76	4.89	4.9	4.7
5298	16822743	108664863	Lisboa	Santa Maria Maior	38.71285	-9.12543	4	50	5	32	0.54	4	345	3	2	1	1.0	1	1.0	1.0	3	4.72	4.63	4.69	4.72	4.78	4.56
5299	16822776	688914	Cascais	Cascais e Estoril	38.70283	-9.41537	4	70	2	15	0.26	35	359	2	1	1	1.0	0	1.0	1.0	2	4.2	4.4	4.67	4.87	4.43	4.21
5302	16827168	62754115	Lisboa	Misericrdia	38.70919	-9.14703	4	99	2	59	1.03	3	293	0	1	1	0.88	0	1.0	2.0	5	4.95	4.93	4.96	5.0	4.95	4.79
5304	16834181	36539592	Lisboa	Estrela	38.70948	-9.15774	4	65	5	35	0.63	1	149	3	1	0	1.0	1	1.0	1.0	4	4.86	4.8	4.91	4.89	4.69	4.51
5305	16835175	112058442	Lourinh	Lourinh e Atalaia	39.23506	-9.33172	4	54	4	14	0.26	1	273	5	1	1	1.0	0	1.0	2.0	4	4.71	4.86	4.92	4.92	4.77	4.77
5308	16864122	25064934	Lisboa	Arroios	38.71729	-9.13872	4	65	3	159	2.69	18	244	9	1	1	1.0	1	1.0	1.0	2	4.52	4.67	4.77	4.82	4.7	4.56
5309	16864410	99481117	Cascais	Cascais e Estoril	38.7075	-9.44729	4	700	3	16	0.29	20	0	0	1	1	0.8	1	4.0	4.0	10	4.75	4.75	5.0	5.0	4.5	4.38
5310	16868307	112393831	Lisboa	Arroios	38.7234	-9.13626	4	75	6	60	1.11	4	345	9	1	1	1.0	1	1.0	1.0	4	4.87	4.92	4.88	5.0	4.7	4.85
5311	16871168	112438123	Cascais	Cascais e Estoril	38.69612	-9.42434	4	95	3	34	0.59	1	162	6	1	1	1.0	1	1.0	2.0	4	4.91	4.85	5.0	5.0	5.0	4.75
5313	16877798	4632054	Lisboa	So Vicente	38.7218	-9.12464	4	69	4	64	1.09	1	15	2	1	1	1.0	1	1.0	1.0	2	4.89	4.92	4.9	4.94	4.69	4.78
5315	16883483	112587429	Sintra	Colares	38.83388	-9.45418	4	95	4	25	0.43	1	351	4	1	1	1.0	0	1.0	3.0	6	4.44	4.56	4.92	4.83	4.71	4.54
5316	16883926	97800475	Lisboa	So Vicente	38.72283	-9.13168	4	41	3	172	2.9	6	169	20	1	1	1.0	0	1.0	1.0	2	4.7	4.9	4.95	4.88	4.56	4.61
5317	16891996	112695633	Lisboa	Santa Maria Maior	38.70891	-9.13196	4	70	2	185	3.16	1	334	13	1	1	1.0	0	1.0	2.0	4	4.65	4.63	4.88	4.86	4.92	4.75
5318	16893621	112712978	Lisboa	Misericrdia	38.71339	-9.1526	4	100	2	101	1.73	1	171	4	2	1	1.0	1	1.5	3.0	5	4.8	4.98	4.95	4.95	4.92	4.8
5319	16895120	22370159	Lisboa	Santo Antnio	38.72404	-9.1467	4	188	2	82	1.41	29	16	11	1	1	0.96	0	3.0	7.0	14	4.65	4.85	4.93	4.83	4.89	4.5
5320	16896085	181902	Lisboa	Santa Maria Maior	38.71161	-9.13974	4	164	1	45	0.77	18	285	17	1	1	1.0	1	2.5	3.0	8	4.71	4.78	4.71	4.8	4.93	4.62
5322	16904194	21501633	Lisboa	Alcntara	38.69803	-9.19062	4	76	4	184	3.12	1	51	7	1	1	1.0	1	1.0	2.0	4	4.92	4.96	4.96	4.97	4.84	4.89
5323	16907332	19155385	Lisboa	Santa Maria Maior	38.71095	-9.14024	4	82	3	76	1.97	4	173	8	1	1	1.0	1	1.0	1.0	3	4.91	4.88	4.93	4.95	5.0	4.83
5325	16912042	70305938	Lisboa	Santa Maria Maior	38.711	-9.13473	4	83	2	120	2.09	8	249	19	1	1	1.0	1	1.0	1.0	4	4.95	4.94	4.82	4.93	4.95	4.83
5329	16921101	101596329	Lisboa	Santo Antnio	38.71871	-9.15314	4	120	3	132	2.23	2	258	11	1	1	1.0	1	3.0	3.0	8	4.99	5.0	5.0	5.0	4.93	4.94
5331	16924162	113043491	Lisboa	Santa Maria Maior	38.7124	-9.13603	4	70	2	60	1.04	1	314	10	1	1	1.0	1	1.0	1.0	2	4.63	4.83	4.63	4.76	4.8	4.59
5332	16926854	33903389	Lisboa	Santo Antnio	38.72401	-9.14497	4	65	2	143	2.46	5	143	13	1	1	1.0	1	1.0	2.0	3	4.9	4.89	4.99	4.97	4.8	4.86
5333	16928478	2101702	Lisboa	Arroios	38.73102	-9.13484	4	85	4	218	3.76	13	58	18	1	1	1.0	0	1.0	1.0	4	4.57	4.66	4.58	4.59	4.7	4.57
5334	16930087	23780167	Lisboa	Santa Maria Maior	38.71114	-9.13711	4	145	2	127	2.17	18	53	0	3	1	0.67	0	1.0	3.0	6	4.71	4.88	4.89	4.85	4.97	4.66
