	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	host_response_time	host_identity_verified	host_response_rate	host_is_superhost	nr_of_bathrooms	bedrooms	accommodates	review_scores_rating	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value
9063	25664890	193239946	Lisboa	Santa Maria Maior	38.71112	-9.13652	4	157	3	201	4.77	1	325	24	2	1	1.0	0	2.0	3.0	6	4.69	4.69	4.68	4.78	4.97	4.72
9065	25668899	193258970	Lisboa	Arroios	38.71846	-9.13723	4	50	2	33	0.78	2	84	1	1	1	1.0	0	1.0	1.0	3	4.82	4.88	4.97	4.91	4.79	4.82
9066	25669974	193260966	Lisboa	So Vicente	38.71668	-9.12179	4	38	3	144	3.38	1	249	26	1	1	1.0	1	1.0	1.0	3	4.92	4.97	4.99	4.98	4.82	4.85
9067	25670451	3716977	Lisboa	Santa Maria Maior	38.70905	-9.13733	4	63	2	167	3.95	11	330	42	1	1	0.96	0	1.0	2.0	4	4.59	4.78	4.9	4.86	4.84	4.66
9069	25676775	128655450	Lisboa	Alcntara	38.70512	-9.18509	4	60	2	29	0.69	1	342	1	1	1	1.0	0	1.0	1.0	4	4.93	4.97	4.97	4.97	4.62	4.72
9070	25680836	23780167	Lisboa	Santa Maria Maior	38.70884	-9.13609	4	139	2	67	1.6	18	0	2	3	1	0.67	0	2.0	3.0	6	4.58	4.81	4.62	4.82	4.91	4.59
9073	25714450	193429613	Cascais	Cascais e Estoril	38.70481	-9.40844	4	90	3	19	0.45	1	34	7	1	1	1.0	0	1.0	2.0	4	4.95	4.95	5.0	5.0	5.0	4.84
9076	25718334	11707167	Lisboa	Misericrdia	38.71079	-9.15104	4	160	2	4	0.1	10	0	0	2	1	1.0	0	2.0	1.0	4	3.75	4.25	4.5	4.75	4.5	4.25
9078	25722374	24216745	Oeiras	Oeiras e S.Julio da Barra, Pao de Arcos e Caxias	38.69534	-9.29889	4	100	7	20	0.49	1	209	10	2	0	1.0	1	3.5	3.0	6	4.95	5.0	5.0	4.9	4.75	4.75
9079	25722500	11707167	Lisboa	Misericrdia	38.71079	-9.15104	4	200	2	2	0.07	10	0	0	2	1	1.0	0	1.0	2.0	6	4.5	5.0	4.5	5.0	4.5	5.0
9081	25723850	193470969	Lisboa	Misericrdia	38.7112	-9.14831	4	45	2	59	1.39	1	37	0	2	0	1.0	0	1.0	2.0	4	4.68	4.76	4.93	4.98	4.93	4.61
9082	25726564	193483253	Lisboa	Arroios	38.72615	-9.1348	4	150	3	73	1.72	4	260	0	1	1	1.0	1	3.0	6.0	10	4.77	4.85	4.95	4.96	4.75	4.78
9084	25732447	185555949	Sintra	Colares	38.78499	-9.44926	4	350	1	6	0.15	2	365	1	4	0	0.4	0	2.0	4.0	10	4.0	4.0	4.8	4.2	4.4	4.4
9085	25735511	189080208	Lisboa	Arroios	38.73129	-9.13419	2	27	1	10	0.24	12	172	1	1	1	1.0	0	2.0	1.0	1	5.0	4.9	5.0	4.9	4.7	4.6
9086	25736672	189080208	Lisboa	Arroios	38.73129	-9.13419	2	27	1	13	0.31	12	164	1	1	1	1.0	0	2.0	1.0	1	4.92	5.0	4.85	4.77	4.85	4.77
9088	25738339	189080208	Lisboa	Arroios	38.73129	-9.13419	2	27	1	11	0.26	12	68	0	1	1	1.0	0	2.0	1.0	1	4.91	5.0	4.91	5.0	4.73	5.0
9089	25739075	193430214	Lisboa	Santa Maria Maior	38.71418	-9.13112	4	110	3	55	1.33	4	340	9	1	1	1.0	1	1.0	2.0	6	4.98	4.98	4.98	4.98	4.95	4.84
9091	25762310	28621314	Lisboa	Penha de Frana	38.72286	-9.1305	4	95	2	14	0.34	4	161	0	2	1	0.9	0	2.0	2.0	6	4.79	4.93	4.93	5.0	5.0	4.86
9092	25763306	193430214	Lisboa	Santa Maria Maior	38.71514	-9.132	4	99	3	24	0.58	4	351	3	1	1	1.0	1	2.0	1.0	4	4.96	4.92	4.96	5.0	4.88	4.58
9093	25763644	362461	Cascais	Carcavelos e Parede	38.68655	-9.35322	4	50	4	23	0.54	1	181	0	3	1	1.0	0	1.0	1.0	3	4.26	4.39	4.52	4.65	4.65	4.3
9094	25764809	71962548	Cascais	Cascais e Estoril	38.70219	-9.38437	4	62	3	16	0.48	24	355	10	2	1	0.97	0	2.0	3.0	8	3.63	3.88	4.63	4.44	4.44	3.75
9102	25790879	57759480	Mafra	Malveira e So Miguel de Alcaina	38.91441	-9.2663	4	70	2	2	0.05	2	364	1	3	1	1.0	0	1.0	1.0	3	5.0	5.0	5.0	5.0	5.0	5.0
9103	25790920	22192546	Lisboa	Campolide	38.72915	-9.16494	4	78	2	14	0.33	57	348	0	1	0	1.0	0	2.0	2.0	6	4.57	4.5	4.86	4.79	4.36	4.43
9104	25797538	193859176	Lisboa	Arroios	38.7322	-9.13681	2	32	1	81	1.91	3	344	28	1	1	0.97	0	2.0	1.0	3	4.53	4.84	4.62	4.44	4.46	4.53
9106	25798722	1208572	Lisboa	Alcntara	38.69831	-9.18991	2	65	1	12	0.29	33	162	0	1	1	1.0	0	2.0	1.0	2	4.42	4.67	4.92	4.92	4.83	4.67
9108	25804226	193859176	Lisboa	Arroios	38.73157	-9.13515	2	37	1	42	1.0	3	340	23	1	1	0.97	0	2.0	1.0	3	4.48	4.76	4.79	4.55	4.5	4.64
9110	25810850	169506826	Lisboa	Olivais	38.77736	-9.11731	4	59	1	186	4.72	2	60	60	1	1	1.0	1	1.0	2.0	3	4.9	4.92	4.99	5.0	4.81	4.83
9115	25831938	22370159	Lisboa	Santa Maria Maior	38.7161	-9.14157	4	123	1	59	1.46	29	289	23	1	1	0.96	0	2.0	2.0	6	4.83	4.86	4.95	4.86	4.95	4.73
9117	25835074	30866411	Lisboa	So Vicente	38.71767	-9.13115	2	30	1	193	4.55	4	4	64	1	1	1.0	1	1.0	1.0	2	4.74	4.59	4.9	4.91	4.85	4.75
9118	25838331	175157502	Lisboa	Arroios	38.72946	-9.13343	2	30	1	11	0.26	22	0	0	1	1	1.0	0	1.0	1.0	2	4.45	3.73	4.36	4.18	4.55	4.0
9119	25841737	13696802	Cascais	Cascais e Estoril	38.70632	-9.4289	4	70	2	25	0.6	2	0	0	1	1	1.0	0	1.0	1.0	2	4.83	4.71	4.75	4.88	4.67	4.75
9127	25859826	131938473	Lisboa	Santa Maria Maior	38.71587	-9.13368	4	90	3	19	0.47	2	251	0	3	1	0.6	0	1.0	1.0	2	4.53	4.58	4.95	4.89	4.53	4.37
9128	25860994	5039336	Lisboa	Santo Antnio	38.72695	-9.14678	2	53	1	24	0.6	20	363	16	1	1	0.99	0	1.0	1.0	2	4.71	4.88	4.83	4.79	4.67	4.75
9129	25862158	5039336	Lisboa	Santo Antnio	38.72828	-9.14517	2	56	1	35	0.84	20	359	32	1	1	0.99	0	1.0	1.0	2	4.46	4.74	4.57	4.57	4.66	4.6
9130	25862396	5039336	Lisboa	Santo Antnio	38.72649	-9.14503	2	80	2	1	0.73	20	327	1	1	1	0.99	0	2.0	1.0	4	4.0	2.0	5.0	5.0	3.0	3.0
9132	25862985	194229599	Lisboa	Arroios	38.73139	-9.1446	4	68	3	35	0.85	1	213	7	1	1	0.9	0	1.0	1.0	4	4.51	4.54	4.69	4.8	4.91	4.63
9133	25865038	170931601	Lisboa	Campolide	38.72791	-9.16174	4	93	4	67	1.59	3	342	8	1	1	1.0	1	1.0	3.0	6	4.72	4.78	4.75	4.81	4.45	4.7
9134	25865244	194327506	Lisboa	Santa Maria Maior	38.71258	-9.13158	4	45	1	267	6.31	1	293	53	1	1	1.0	1	1.0	1.0	2	4.84	4.81	4.87	4.94	4.94	4.8
9135	25868968	9698201	Sintra	S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim	38.81623	-9.38493	4	51	2	123	2.9	3	357	29	1	1	1.0	0	1.0	1.0	2	4.61	4.78	4.85	4.9	4.51	4.47
9136	25869185	43326716	Lisboa	Areeiro	38.7406	-9.12984	4	42	2	12	0.29	9	319	4	1	1	1.0	0	1.0	1.0	4	4.92	4.92	5.0	5.0	5.0	4.92
9137	25869406	193856817	Lisboa	Arroios	38.73068	-9.13288	2	22	1	121	2.86	14	354	25	1	1	1.0	0	2.0	1.0	2	4.52	4.7	4.66	4.74	4.58	4.61
9138	25870906	170464420	Cascais	Cascais e Estoril	38.70799	-9.39884	4	70	4	29	0.83	4	295	3	1	1	1.0	0	1.0	1.0	2	4.97	5.0	5.0	5.0	4.97	4.9
9139	25875597	193856817	Lisboa	Arroios	38.7304	-9.13466	2	30	1	41	0.97	14	0	0	1	1	1.0	0	2.0	1.0	2	4.49	4.63	4.71	4.8	4.61	4.59
9140	25875722	193856817	Lisboa	Arroios	38.73264	-9.13335	2	30	1	18	0.42	14	0	0	1	1	1.0	0	2.0	1.0	2	4.61	4.78	4.89	5.0	4.78	4.5
9141	25880933	89188638	Lisboa	Lumiar	38.77928	-9.16465	2	30	14	7	0.18	1	363	0	1	1	1.0	0	1.0	1.0	1	5.0	5.0	4.86	5.0	5.0	5.0
